name,prompt,negative_prompt,description,category
ACCESSORY_Used_Condom,"(used condom:1.3), (discarded condom:1.2), condom on body, filled condom, condom wrapper, spent condom, tied condom, cum-filled condom on skin","clean, no condom, bareback only",Used condom(s) on body or nearby. Visual aftermath element. Combos: NTR_After_Sex; STATE_Exhausted_Used; SCENE_Love_Hotel.,ACCESSORY
ACCESSORY_Veil_Sheer,"(sheer veil:1.3), (transparent face veil:1.2), see-through veil over face, gossamer face covering, translucent bridal veil, diaphanous cloth over face","opaque mask, blindfold, no veil, solid fabric",Transparent/sheer veil over face. Combos: CLOTHES_Wedding_Dress; CLOTHES_Arabian; CLOTHES_Harem_Outfit; ARCHETYPE_Belly_Dancer.,ACCESSORY
ACTION_Anal_Fingering,"(anal fingering:1.4), fingers in ass, finger in anus, digital anal penetration, fingering asshole, anal play with fingers","vaginal fingering, no touching",Anal fingering. Combos: GENITALS_Anus_Focus; ACTION_Penetration_Anal; POSE_Ass_Up_Face_Down.,ACTION
ACTION_Anal_Object_Insertion,"(anal object insertion:1.4), (object in ass:1.3), unusual anal insertion, improvised anal toy, bottle insertion, non-standard anal penetration","normal toy, butt plug, beads, fingers only, vaginal",Non-standard anal insertion. Combos: GENITALS_Anal_Gaping; THEME_BDSM_Pain; SCENE_Dungeon_Basement.,ACTION
ACTION_Angry_Dragon,"1girl, oral sex, (cum in mouth:1.3), (snorting cum:1.2), cum from nose, shocked expression, overwhelmed, liquid from nose after oral, cum reaction","clean, no cum, dry, mild",Angry dragon sex act. Combos: ACTION_Deepthroat; ACTION_Oral_Blowjob; STATE_Surprised; FLUIDS_Excessive_Cum.,ACTION
ACTION_Armpitjob,"1girl, (armpitjob:1.3), cock in armpit, penis in armpit, armpit sex, axillary sex, arm pit fuck, underarm sex","penetration, oral, normal positions",Armpitjob. Combos: POSE_Arched_Back; CAMERA_Full_Body. Niche but consistent.,ACTION
ACTION_Ass_Worship,"(ass worship:1.4), (kissing ass:1.3), licking ass cheeks, face pressed into ass, nuzzling butt, adoring ass, tongue on ass cheeks, butt adoration","no contact, standing, ignoring",Ass worship — kissing/licking/adoring ass (broader than rimjob). Combos: ACTION_Facesitting; BODY_Thicc_Voluptuous; THEME_Femdom; CAMERA_Ass_Focus.,ACTION
ACTION_Assjob,"1girl, (assjob:1.4), cock between ass cheeks, penis between buttocks, ass rub, ass fuck without penetration, rubbing against ass, dry hump ass","penetration, oral, vaginal",Assjob. Combos: POSE_Bent_Over; CAMERA_Ass_Focus; BODY_Thicc_Voluptuous.,ACTION
ACTION_Ball_Sucking,"(sucking testicles:1.4), (licking balls:1.3), mouth on balls, testicle worship, ball licking, tongue on testicles, oral on balls, scrotum worship","no contact, blowjob only, no balls",Testicle sucking/licking. Combos: GENITALS_Testicles_Large; ACTION_Oral_Blowjob; CAMERA_From_Below.,ACTION
ACTION_Blowjob_Double,"(2girls:1.2), two girls blowjob, double oral, (two mouths on cock:1.3), dual fellatio, both licking shaft, tongue on cock from both sides, double blowjob","single oral, solo",Double BJ two girls on one cock. Combos: GROUP_FFM; CAMERA_POV; CAMERA_Side_Profile.,ACTION
ACTION_Blowjob_Triple,"(3girls:1.2), triple blowjob, (three girls on cock:1.3), three mouths, triple oral, three girls fellatio, group blowjob","single oral, solo, one girl",Triple BJ. Combos: GROUP_FFFM; CAMERA_From_Below.,ACTION
ACTION_Breast_Sucking,"1girl, (breast sucking:1.4), (nipple licking:1.3), mouth on nipple, sucking nipple, licking breast, nipple in mouth, suckling","no contact, distant, not touching",Breast/nipple sucking. Combos: BREASTS_Nipples_Detailed; BREASTS_Lactating; POSE_Cowgirl.,ACTION
ACTION_Cheek_Bulge,"(cheek bulge:1.3), (mouth bulging:1.3), fellatio with bulge, full mouth, stuffed cheeks, mouth stretched, intricate oral detail","empty mouth, closed lips",Cheek bulge oral,ACTION
ACTION_Cheek_Poking,"(cheek poking:1.3), penis poking cheek, cock against cheek, cheek deformation, face poke with cock","no contact, distant",Cheek poking,ACTION
ACTION_Choking,"(choking:1.4), (hand on throat:1.3), strangling, neck grab, throat squeeze, being choked, hand around neck, breath restriction","free neck, no touching throat, gentle",Hand choking / throat grab. Combos: THEME_Maledom; THEME_Non_Con; THEME_BDSM_Pain; EXPRESSION_Fear.,ACTION
ACTION_Clothed_Sex_CFNM,"1girl, (clothed female naked male:1.3), CFNM, dressed female undressed male, clothed during sex, partial undress partner, clothes on during intercourse","both nude, both clothed",Clothed female naked male. Combos: ARCHETYPE_Office_Lady; CLOTHES_Lingerie; SCENE_Office.,ACTION
ACTION_Cock_Comparison,"(cock comparison:1.4), (penis size comparison:1.3), two cocks side by side, comparing penis sizes, big vs small, size difference between dicks, humiliating comparison","single cock, no comparison, equal size",Cock size comparison — two dicks side by side. Combos: THEME_NTR_Humiliation; THEME_Interracial_BBC; GENITALS_Penis_Small + GENITALS_Penis_Huge.,ACTION
ACTION_Cock_Stomping,"1girl, (stepping on penis:1.4), (foot on cock:1.3), trampling genitals, heel on penis, foot pressing down on dick, cock stomp, genital trampling","footjob, gentle, no contact, standing away","Foot/heel on penis — domination, not pleasure. Different from ACTION_Footjob. Combos: THEME_Femdom; CLOTHES_High_Heels; EXPRESSION_Contemptuous.",ACTION
ACTION_Cock_Worship,"1girl, (cock worship:1.4), (adoring penis:1.3), nuzzling cock, kissing penis, licking shaft reverently, amazed by size, worshipping dick, devoted to cock, tongue on shaft with devotion","blowjob, deepthroat, ignoring, unimpressed","Cock worship — adoration, not just oral sex. Combos: THEME_Interracial_BBC; EXPRESSION_Lustful; CAMERA_POV; STATE_Heart_Eyes.",ACTION
ACTION_Cum_Swap,"(cum swap:1.4), (snowballing:1.3), passing cum mouth to mouth, cum transfer kiss, sharing semen, cum exchange, open mouth cum display","clean, no cum, solo",Cum swap / snowballing. Combos: GROUP_FFM; FLUIDS_Excessive_Cum; ACTION_Oral_Blowjob.,ACTION
ACTION_Cumplay,"cumplay, playing with cum, cum on hands, cum mess, sticky cum, cum strings, tasting cum, collecting cum","clean, no cum, dry",Cumplay,ACTION
ACTION_Cunnilingus,"1girl, cunnilingus, eating pussy, licking pussy, oral on female, tongue on pussy, pussy licking, face in pussy, going down on her",no oral,Cunnilingus,ACTION
ACTION_Deepthroat,"(deepthroat:1.4), deep oral, throat fucking, cock down throat, gagging, irrumatio, throat penetration, face fucking, balls deep in mouth","shallow, no oral",Deepthroat,ACTION
ACTION_Dick_Touch_Face,"penis touching face, cock on cheek, slapping face with penis, penis near mouth, cock against lips, face contact with cock","no contact, distant",Dick to face contact,ACTION
ACTION_Dildo_Riding,"1girl, (riding dildo:1.4), (sitting on dildo:1.3), dildo on floor, riding sex toy, mounted dildo, self-penetration with toy, toy insertion riding","human partner, manual hand",Riding a dildo. Combos: SCENE_Bedroom; POSE_Cowgirl adapted; ACCESSORY_Vibrator_Wearable.,ACTION
ACTION_Double_Penetration,"(double penetration:1.4), DP, both holes, anal and vaginal, two cocks, filled completely, double stuffed, penetrated in both holes","single penetration, one hole",Double penetration,ACTION
ACTION_Facesitting,"1girl, facesitting, ass on face, smothering, sitting on face, pussy on face, suffocating, ass worship, face buried in ass","standing, not sitting, no contact",Facesitting,ACTION
ACTION_Fingering,"1girl, fingering, (fingers in pussy:1.3), digital penetration, finger fucking, fingering pussy, manual stimulation, hand in pussy",no fingering,Fingering,ACTION
ACTION_Fisting_Anal,"(anal fisting:1.4), fist in ass, hand in anus, deep anal insertion, full hand anal, extreme anal stretching","vaginal, fingers only, no insertion",Anal fisting. Combos: GENITALS_Anal_Gaping; THEME_BDSM_Pain; POSE_Bent_Over.,ACTION
ACTION_Fisting_Vaginal,"1girl, (vaginal fisting:1.4), fist inside pussy, hand in vagina, deep vaginal insertion, full hand insertion, extreme stretching inside","anal, fingers only",Vaginal fisting. Combos: GENITALS_Vagina_Gaping; ACTION_Impossible_Fit; POSE_Spread_Legs.,ACTION
ACTION_Footjob,"1girl, (footjob:1.4), foot job, penis between feet, cock between toes, feet on cock, foot sex, toes on penis, sole rub on cock","penetration, oral, no feet",Footjob. Combos: CLOTHES_Bare_Feet; CAMERA_From_Above; POSE_Sitting.,ACTION
ACTION_Glory_Hole,"glory hole, penis through wall, (glory hole partition:1.2), stall, anonymous, stranger's cock, unknown partner, through the wall","known partner, face visible, open room",Glory hole,ACTION
ACTION_Grabbing_Ass,"(grabbing ass:1.3), (squeezing butt:1.2), hand on ass, groping buttocks, ass grope, palm on butt cheek, fingers digging into ass","no touching, hands away, untouched",Grabbing / groping ass. Combos: BODY_Thicc_Voluptuous; CAMERA_Ass_Focus; ACTION_Penetration_Vaginal.,ACTION
ACTION_Grabbing_Pussy,"(grabbing pussy:1.4), (hand on crotch:1.3), crotch grab, groping genitals, hand pressed against pussy, palm on vulva, cupping pussy","no touching, hands away, fingering","Grabbing/cupping pussy — not fingering, just groping. Combos: THEME_Maledom; THEME_Non_Con; CLOTHES_Panties_Aside.",ACTION
ACTION_Grinding_Rubbing,"grinding, dry humping, rubbing, frottage, grinding on cock, rubbing genitals, clothed grinding, tribbing","penetration, no contact",Grinding rubbing,ACTION
ACTION_Handjob,"handjob, (stroking penis:1.3), jerking off, hand on cock, penis massage, stroking dick, manual stimulation, hand job",no touching,Handjob,ACTION
ACTION_Handjob_Double,"(2girls:1.2), (two hands on cock:1.3), double handjob, both girls stroking, two-handed stroke, dual handjob, two women jerking off one cock","single handjob, solo",Double handjob two girls. Combos: GROUP_FFM; CAMERA_POV; STATE_Pleasure_Ecstasy.,ACTION
ACTION_Handjob_Triple,"(3girls:1.2), (three hands on cock:1.3), triple handjob, multiple girls stroking same cock, three women jerking off, group handjob","single handjob, solo, one girl",Triple handjob three girls. Combos: GROUP_FFFM; CAMERA_POV.,ACTION
ACTION_Implied_Fellatio,"implied fellatio, head bobbing, below frame blowjob, mouth level with crotch, ambiguous oral, obscured fellatio, head out of frame","explicit oral, fully visible",Implied fellatio,ACTION
ACTION_Impossible_Fit,"impossible fit, (huge insertion:1.3), stomach deformation, womb bulge, visible bulge, stretching, too big to fit, size violation","normal size, proportional, fits",Impossible fit,ACTION
ACTION_Kissing,"(kissing:1.3), (deep kiss:1.2), french kiss, making out, lip lock, tongue kiss, passionate kiss, mouth on mouth","no contact, distant, solo",Deep kissing. Hetero or any pairing. See ACTION_Lesbian_Kiss for yuri. Combos: POSE_Missionary; SCENE_Bedroom.,ACTION
ACTION_Lactation_Play,"1girl, (lactation play:1.3), (breast milking:1.2), squeezing milk, milking breasts, milk spraying, drinking breast milk, milk from nipples during sex","dry, no milk",Lactation play. Combos: BREASTS_Lactating; THEME_Breeding_Impregnation; BODY_Pregnant_Gravid.,ACTION
ACTION_Lesbian_Kiss,"2girls, (yuri kiss:1.3), girls kissing, lesbian kiss, two women kissing, mouth to mouth kiss, deep kiss, making out, lip contact between girls","male, boy, hetero, solo",Lesbian/yuri kiss. Combos: THEME_Lesbian_Yuri; LIGHTING_Soft_Warm; MOOD_SFW_Romantic.,ACTION
ACTION_Lesbian_Tribbing,"2girls, (tribbing:1.4), (pussy to pussy:1.3), scissoring, rubbing pussies together, frottage between women, grinding pussy, yuri sex, lesbian genital contact","male, penetration, solo",Tribbing/scissoring. Combos: THEME_Lesbian_Yuri; GROUP_Lesbian_Couple; CAMERA_From_Above.,ACTION
ACTION_Masturbation_Dildo,"1girl, (dildo masturbation:1.4), (using dildo:1.3), inserting dildo, dildo in hand, solo dildo play, self-penetration with dildo, handheld dildo insertion","riding dildo, floor dildo, partner, human cock",Handheld dildo masturbation — different from ACTION_Dildo_Riding (mounted). Combos: POSE_Spread_Legs; SCENE_Bedroom; ACTION_Masturbation_Female.,ACTION
ACTION_Masturbation_Female,"1girl, female masturbation, (touching own pussy:1.3), self pleasure, solo masturbation, rubbing pussy, fingering self, pleasuring self","partnered, no touching",Female masturbation,ACTION
ACTION_Offscreen_Sex,"offscreen sex, implied sex, sex sounds, off-panel penetration, hidden sex, below frame action, partially visible, cut-off at waist","explicit full view, fully shown",Offscreen implied sex,ACTION
ACTION_Onahole_Use,"(onahole:1.4), (pocket pussy:1.3), masturbation sleeve, male sex toy, fleshlight, stroker toy, artificial vagina toy, using onahole on cock","real vagina, penetration, no toy",Onahole / pocket pussy toy use. Combos: BODY_Male_Average; GROUP_Solo_Male; ACTION_Handjob (by partner with toy).,ACTION
ACTION_Oral_Blowjob,"blowjob, oral sex, (fellatio:1.3), cock in mouth, sucking dick, giving head, deepthroat, penis in mouth, oral pleasure, cock sucking",no oral,Oral sex blowjob,ACTION
ACTION_Oviposition,"(oviposition:1.4), (egg laying:1.3), (eggs inside:1.2), egg insertion, monster eggs in womb, belly full of eggs, egg bulge, alien eggs, egg transfer, implanting eggs","normal pregnancy, cum, no eggs, human",Oviposition — egg insertion/laying. Combos: THEME_Monster_Tentacle; THEME_Monster_Breeding; ACTION_Impossible_Fit; FLUIDS_Cum_Inflation (egg belly).,ACTION
ACTION_Paizuri_Titjob,"1girl, paizuri, titjob, (breast fuck:1.3), cock between breasts, penis between tits, tit fucking, breasts squeezing cock, mammary intercourse","no paizuri, flat chest",Paizuri breast sex,ACTION
ACTION_Penetration_Anal,"anal sex, (anal penetration:1.4), ass fuck, penis in ass, anal insertion, backdoor, asshole penetration, anal intercourse, butt sex","vaginal, no anal",Anal penetration,ACTION
ACTION_Penetration_Vaginal,"vaginal penetration, (pussy penetration:1.3), sex, intercourse, penis in pussy, vaginal sex, fucking, penetration, cock in pussy, insertion","no penetration, outside, oral only",Vaginal penetration,ACTION
ACTION_Penis_To_Face,"penis to face, eye contact with penis, cock pressed against face, confronting cock, face level with penis, cock against skin","distant, no contact",Penis to face,ACTION
ACTION_Pole_Dance,"1girl, (pole dancing:1.3), dancing on pole, stripper pole, vertical pole, pole spin, exotic dance on pole, body wrapped around pole","no pole, standing still",Pole dance. Combos: SCENE_Strip_Club; ARCHETYPE_Stripper; LIGHTING_Neon_Colorful; CLOTHES_Lingerie.,ACTION
ACTION_Reverse_Cowgirl,"1girl, (reverse cowgirl:1.4), (girl on top facing away:1.3), riding from behind, cowgirl facing foot of bed, back to partner, back-facing straddle","facing forward, missionary",Reverse cowgirl. Combos: CAMERA_Ass_Focus; BODY_Thicc_Voluptuous; HAIR_Ponytail.,ACTION
ACTION_Rimjob,"(rimjob:1.4), (anilingus:1.3), licking anus, tongue on asshole, eating ass, ass licking, oral on anus, butt licking, analingus","vaginal oral, no contact",Rimjob / anilingus. Combos: GENITALS_Anus_Focus; POSE_Ass_Up_Face_Down; ACTION_Facesitting.,ACTION
ACTION_Scissorhold,"1girl, (head between thighs:1.4), (scissorhold:1.3), face trapped between legs, thighs around head, leg lock on head, legs squeezing head, face in crotch grip, thigh headlock","no contact, standing, free",Scissorhold — head trapped between thighs. Combos: ACTION_Cunnilingus; BODY_Thicc_Voluptuous; STATE_Smug; CAMERA_POV.,ACTION
ACTION_Self_Wedgie,"self wedgie, (pulling panties aside:1.2), thong pull, ass presentation, butt focus, panties stretched, exposing ass","clothed, loose clothing",Self wedgie,ACTION
ACTION_Sex_Machine,"1girl, (sex machine:1.4), (fucking machine:1.3), mechanical dildo, automated penetration, machine fucking, motorized sex device, piston machine, thrusting machine, mechanical device penetrating","human partner, manual, hand",Fucking machine. Combos: SCENE_Dungeon_Basement; THEME_BDSM_Bondage; POSE_Hogtied; POSE_Spread_Legs.,ACTION
ACTION_Showing_Ass,"1girl, (showing ass:1.3), presenting ass, ass display, butt presented, ass towards viewer, showing rear, ass offered, presenting posterior, ass focus display","hiding, covered, turned away",Showing/presenting ass. Combos: CAMERA_Ass_Focus; POSE_Bent_Over; CLOTHES_Partially_Clothed.,ACTION
ACTION_Showing_Pussy,"1girl, (showing pussy:1.3), presenting pussy, vagina displayed, crotch presented, vulva show, pussy towards viewer, displaying genitals, showing labia","hiding, covered, clothed crotch",Showing/presenting pussy. Combos: CAMERA_Pussy_Focus; POSE_Spread_Legs; GENITALS_Pussy_Detailed.,ACTION
ACTION_Skirt_Lift,"1girl, (skirt lift:1.4), (lifting skirt:1.3), pulling skirt up, revealing under skirt, showing panties under skirt, hem pulled high, skirt raised","skirt down, fully covered, no skirt",Lifting/pulling up skirt to reveal underneath. Combos: CLOTHES_Skirt_Mini; CLOTHES_Thong_Panties; CLOTHES_Panties_Aside; THEME_Teasing.,ACTION
ACTION_Spitroast,"spitroast, spit-roasted, (one cock in mouth:1.2), (one cock in pussy:1.2), sandwiched, used from both ends, two males one female","solo, one partner",Spitroast,ACTION
ACTION_Spreading_Ass,"1girl, (spreading ass cheeks:1.3), pulling ass apart, parting buttocks, spreading cheeks, ass cheeks pulled open, exposing anus","closed, covered, hidden",Spreading ass cheeks. Combos: GENITALS_Anus_Focus; CAMERA_Ass_Focus; CAMERA_From_Below.,ACTION
ACTION_Spreading_Pussy,"1girl, (spreading pussy:1.4), (pulling labia apart:1.3), fingers spreading pussy lips, opening vagina with fingers, displaying inside, labia spread by hand, pussy held open","closed, covered, not touching",Actively spreading pussy with fingers. Different from ACTION_Showing_Pussy (passive display). Combos: GENITALS_Pussy_Detailed; CAMERA_Pussy_Focus; POSE_Spread_Legs.,ACTION
ACTION_Standing_Split_Sex,"standing split sex, (standing:1.2), (leg raised:1.3), flexible position, deep penetration, vertical split during sex, one leg raised high","lying down, low position, seated",Standing split sex,ACTION
ACTION_Striptease,"1girl, (striptease:1.3), strip dance, removing clothes, seductive undressing, tease strip, clothes coming off, sensual strip, exotic dance, erotic undress","fully clothed, static, no movement",Striptease. Combos: SCENE_Strip_Club; CLOTHES_Partially_Clothed; ARCHETYPE_Stripper; LIGHTING_Neon_Colorful.,ACTION
ACTION_Surrounded_Dicks,"1girl, surrounded by penises, (many dicks:1.2), wall of cocks, cocks from all sides, multiple erections surrounding her","solo cock, single partner",Surrounded by dicks,ACTION
ACTION_Surrounded_Males,"1girl, surrounded by males, (multiple boys:1.2), many men surrounding her, men closing in, outnumbered by men, male group","solo, female only, safe distance",Surrounded by males,ACTION
ACTION_Surrounded_Pussy,"1boy, surrounded by girls, harem, (multiple females:1.2), female group, many women, surrounded by pussies","solo male, single female",Surrounded by females,ACTION
ACTION_Suspended_Congress,"suspended congress, sex while suspended, carried during sex, lifting sex, mid-air sex, vertical position, partner held in air","on ground, lying, on bed",Suspended congress,ACTION
ACTION_Swarming_Hands,"swarming hands, (many hands:1.3), groping, touching everywhere, disembodied hands, hands all over body, molesting hands, reaching hands","no touching, single person",Swarming hands,ACTION
ACTION_Tentacle_All_Holes,"(tentacle triple penetration:1.4), (all holes filled:1.3), tentacles in mouth and pussy and ass, complete tentacle filling, every hole penetrated by tentacle, overwhelmed by tentacles","single tentacle, one hole, gentle, human partner",All holes filled by tentacles simultaneously. Combos: THEME_Monster_Tentacle; STATE_Ahegao_Extreme; FLUIDS_Excessive_Cum.,ACTION
ACTION_Tentacle_Cocoon,"(tentacle cocoon:1.4), (wrapped in tentacles:1.3), tentacle encasement, cocooned by tentacles, body engulfed in tentacle mass, tentacle shell, fully enclosed in tentacles","free, standing, unbound, no tentacles",Fully wrapped/cocooned in tentacles. Combos: THEME_Monster_Tentacle; STATE_Mind_Break; POSE_Hogtied (similar helplessness).,ACTION
ACTION_Tentacle_Milking,"(tentacle milking:1.4), (tentacles on breasts:1.3), suction cups on nipples, tentacle breast pumping, milk extraction by tentacles, tentacle suction on breasts, tentacle lactation extraction","no breast contact, free chest, human hands milking",Tentacles milking/sucking breasts. Combos: BREASTS_Lactating; THEME_Monster_Tentacle; ACTION_Breast_Sucking (tentacle version).,ACTION
ACTION_Tentacle_Oral,"(tentacle in mouth:1.4), (oral tentacle penetration:1.3), tentacle deepthroat, tentacle down throat, mouth stuffed with tentacle, gagging on tentacle, tentacle forced into mouth","clean mouth, no tentacles, human cock, no oral",Tentacle oral penetration. Combos: THEME_Monster_Tentacle; ACTION_Deepthroat (tentacle variant); EXPRESSION_Fear.,ACTION
ACTION_Tentacle_Restrain,"(tentacle restraint:1.4), (tentacles binding body:1.3), tentacles holding arms, tentacles binding legs, suspended by tentacles, tentacle bondage, limbs spread by tentacles, tentacle rope","free, unbound, no tentacles, rope, chain",Tentacles used as restraints — binding/suspending character. Combos: THEME_Monster_Tentacle; POSE_Spread_Legs (forced); THEME_Non_Con.,ACTION
ACTION_Thighjob,"1girl, (thighjob:1.4), cock between thighs, penis between legs, thigh fuck, legs pressed together around cock, thigh sex, paizuri thigh","no contact, penetration, oral",Thighjob. Combos: CLOTHES_Stockings_Garter; BODY_Thicc_Voluptuous; CAMERA_Side_Profile.,ACTION
ARCHETYPE_Android,"1girl, (android:1.3), (robot girl:1.2), mechanical body parts, cybernetic, synthetic skin, artificial being, humanoid robot, android features, circuit patterns, robotic joints visible","fully human, no mechanical parts, organic only",Android/robot girl. Combos: STYLE_3D_Render; SCENE_Spaceship; RACE_Android_Synthetic; LIGHTING_Bright_Clinical.,ARCHETYPE
ARCHETYPE_Belly_Dancer,"1girl, (belly dancer:1.3), (belly dancer outfit:1.2), coin belt, sheer harem pants, bra top with coins, bare midriff, navel jewel, arm bangles, flowing fabric, exotic dancer","modern, casual, armor, nun, business",Belly dancer / exotic dancer. Combos: CLOTHES_Arabian; CLOTHES_Harem_Outfit; SCENE_Night_Club; ACCESSORY_Veil_Sheer.,ARCHETYPE
ARCHETYPE_Bunny_Girl,"1girl, bunny girl, (bunny ears:1.3), bunny suit, leotard, fishnet stockings, bowtie, collar cuffs, high heels, playboy bunny outfit","plain, no ears, no costume, casual",Bunny girl archetype,ARCHETYPE
ARCHETYPE_Catgirl,"1girl, catgirl, (cat ears:1.3), cat tail, nekomimi, feline features, cat paws, collar, playful, neko","no ears, no tail, human, dog ears",Catgirl neko archetype,ARCHETYPE
ARCHETYPE_Cheerleader,"1girl, cheerleader, (cheerleader outfit:1.2), pom poms, short pleated skirt, team uniform, cheer outfit, athletic socks","formal, casual, no uniform",Cheerleader archetype,ARCHETYPE
ARCHETYPE_Cowgirl_Western,"1girl, (cowgirl outfit:1.3), western hat, cowboy hat, boots, sheriff star, western style, denim, lasso, rodeo outfit, american west","japanese, fantasy, modern urban",Western cowgirl. Combos: SCENE_Public_Outdoor; HAIR_Ponytail; LIGHTING_Golden_Hour_Sunset.,ARCHETYPE
ARCHETYPE_Delinquent,"1girl, (delinquent:1.3), (yankee style:1.2), pompadour, bleached hair, school uniform modified, rolled skirt, loose socks, tough girl, bad girl, rebellious","neat, polite, formal, proper",Delinquent / yankee girl. Combos: SCENE_Alley_Street; EXPRESSION_Smug; EXPRESSION_Angry.,ARCHETYPE
ARCHETYPE_Demon_Queen,"1girl, demon queen, (demonic:1.2), crown, dark armor, (horns:1.2), tail, dark majesty, powerful, intimidating, evil queen, dark wings","good, angelic, plain, casual",Demon queen archetype,ARCHETYPE
ARCHETYPE_Doctor,"1girl, (doctor:1.3), white coat, stethoscope, medical badge, doctor attire, physician, lab coat, medical professional","nurse, casual, non-medical",Doctor archetype — different from Nurse. Combos: SCENE_Office; LIGHTING_Bright_Clinical.,ARCHETYPE
ARCHETYPE_Dominatrix,"1girl, (dominatrix:1.4), latex bodysuit, corset, thigh-high boots, holding whip, strict expression, mistress, domme, female dom, BDSM mistress, leather gloves","submissive, casual, soft",Dominatrix archetype. Combos: THEME_Femdom; ACCESSORY_Collar_Chain; EXPRESSION_Smug.,ARCHETYPE
