name,prompt,negative_prompt,description,category
BREASTS_Medium,"1girl, (medium breasts:1.2), average chest, normal breast size, moderate breasts, natural size breasts, proportional chest","huge, gigantic, flat, extremely large",Medium / average breasts. Universal natural size.,BREASTS
BREASTS_Natural_Sagging,"1girl, (sagging breasts:1.3), (natural droop:1.2), hanging breasts, drooping naturally, gravity-affected, natural sag, realistic heavy breasts","perky, uplifted, implants, perfect round",Natural sagging breasts. Combos: BODY_BBW_Plus_Size; BODY_Pregnant_Gravid; ARCHETYPE_Onee_San.,BREASTS
BREASTS_Nipples_Detailed,"1girl, detailed nipples, (erect nipples:1.3), hard nipples, puffy nipples, large areola, prominent nipples, perky nipples, nipple focus","flat, inverted, hidden, covered, male",Detailed nipple focus,BREASTS
BREASTS_Nipples_Inverted,"1girl, (inverted nipples:1.4), (retracted nipples:1.3), concave nipples, sunken nipples, indented nipples","erect nipples, protruding, normal nipples",Inverted nipples. Combos: BREASTS_Nipples_Detailed for detail focus.,BREASTS
BREASTS_Nipples_Pierced,"1girl, pierced nipples, nipple rings, (nipple piercing:1.2), silver nipple ring, metal piercing, decorated nipples, body jewelry","no piercings, covered, male, penis",Pierced nipples,BREASTS
BREASTS_Squeeze_Grope,"1girl, (breast groping:1.3), (squeezing breasts:1.2), hands on breasts, kneading breasts, fondling, breast massage, groped chest","no touching, untouched, solo no hands",Breast groping / squeeze. Combos: BREASTS_Huge_Focus; POSE_Missionary; GROUP setups.,BREASTS
CAMERA_Ass_Focus,"ass focus, (butt focus:1.3), rear view, ass shot, butt close up, from behind view, backside focus, booty shot","front view, face focus",Ass rear focus,CAMERA
CAMERA_Breast_Focus,"1girl, breast focus, (chest focus:1.3), boob shot, cleavage focus, tit close up, chest detail, breasts framed","face focus, full body",Breast focus,CAMERA
CAMERA_Dutch_Angle,"(dutch angle:1.3), (tilted camera:1.2), canted framing, rotated frame, diagonal horizon, slanted perspective, dramatic tilt","straight horizon, level camera, flat angle",Dutch angle. Combos: STYLE_Dark_Fantasy; NTR scenarios; STYLE_Noir_BW.,CAMERA
CAMERA_Face_Close,"face focus, (facial close up:1.3), close up on face, expression focus, head shot, portrait, face detail","full body, distant",Face close up,CAMERA
CAMERA_From_Above,"from above, bird's eye view, overhead view, looking down, top down view, aerial view, downward angle","from below, eye level",From above angle,CAMERA
CAMERA_From_Below,"from below, low angle, upward view, looking up, worm's eye view, shot from ground, beneath view, under view","from above, eye level",From below angle,CAMERA
CAMERA_Full_Body,"full body, head to toe, entire body visible, complete figure, full body shot, whole body in frame","close up, cropped, partial",Full body view,CAMERA
CAMERA_Looking_Back,"(looking back:1.3), (looking back at viewer:1.2), turned head, glancing over shoulder, backward glance, head turned to look behind, rear-facing head turn","facing forward, front view, looking away from viewer",Character looking back at viewer. Works with any rear-facing pose. Combos: POSE_Doggystyle; POSE_Bent_Over; CAMERA_Ass_Focus; POSE_All_Fours_Display.,CAMERA
CAMERA_Over_Shoulder,"(over shoulder POV:1.3), (behind shoulder angle:1.2), camera behind character shoulder, looking over shoulder, perspective from behind and side","front face view, direct front POV",Over-shoulder angle. Combos: ACTION_Penetration_Vaginal from behind; POSE_Doggystyle; NTR scenes.,CAMERA
CAMERA_POV,"POV, (first person view:1.3), from viewer perspective, viewer POV, your POV, seen from viewer, POV angle, looking at viewer","third person, side view, distant",POV first person,CAMERA
CAMERA_Penetration_Xray,"x-ray view, (cross section:1.4), internal view, see-through, penis inside view, cutaway, transparent view, internal penetration visible, anatomical view","external only, normal view",X-ray cross section,CAMERA
CAMERA_Pussy_Focus,"1girl, pussy focus, (genitals focus:1.3), close up pussy, pussy shot, crotch focus, vulva close up, intimate detail, macro genitals","face focus, full body, distant",Pussy close up,CAMERA
CAMERA_Side_Profile,"side view, profile, side angle, from side, lateral view, sideways, profile view, side perspective","front view, from behind",Side profile,CAMERA
CAMERA_Split_Screen_Worship,"split screen, panel divide, (left panel: cheek kiss, affectionate:1.2), (right panel: cock worship, fellatio:1.2), contrast panels, diptych, BREAK split composition, comparison","single frame, no split",Split screen cheek to cock worship,CAMERA
CAMERA_Taker_POV,"(taker pov:1.3), (receiver pov:1.2), from below during sex, looking up at partner, bottom perspective, receiving end viewpoint, submissive camera angle","top perspective, from above, dominant POV",POV from the receiving/bottom perspective — looking up at the person on top. Combos: POSE_Cowgirl; ACTION_Facesitting; CAMERA_From_Below; THEME_Femdom.,CAMERA
CAMERA_Three_Quarter,"(three quarter view:1.3), 3/4 angle, between side and front, diagonal portrait angle, slightly turned, 45 degree face angle","direct front, direct side, full profile",3/4 portrait angle — most flattering for character portraits. Combos: ARCHETYPE_*; CAMERA_Full_Body.,CAMERA
CAMERA_Viewfinder_Rec,"recording, REC icon overlay, viewfinder interface, (camera pov:1.2), battery indicator, filming, phone recording, video interface, recording ui","no overlay, screenshot, no interface, camera head, head replaced by camera, camera for head, camera body, robot camera head",Recording viewfinder overlay,CAMERA
CLOTHES_Collar,"(furry collar:1.3), (pet collar:1.2), species-themed collar, bone tag, paw print tag, bell collar, studded collar for anthro, ownership collar","no collar, necklace, chain, free neck",Furry-themed collar with tag/bell. Combos: FURRY_Dog_Anthro; FURRY_Cat_Anthro; FURRY_THEME_Pet_Play.,CLOTHES
CLOTHES_Feather_Adornment,"(feather accessories:1.3), (feathered adornments:1.2), feather headdress, feathers in hair, decorative plumes, feather necklace, feather earrings, avian jewelry","no feathers, plain, modern jewelry",Feather adornments / accessories. Combos: FURRY_Bird_Harpy; FURRY_Phoenix_Anthro; FURRY_MARKINGS_Tribal.,CLOTHES
CLOTHES_Harness,"(body harness:1.3), (anthro harness:1.2), chest harness, leather straps on furry body, harness over fur, strappy harness, furry bondage harness","full clothing, nude, no straps, armor",Body harness on anthro. Combos: FURRY_BODY_Muscular; FURRY_THEME_Pet_Play; THEME_BDSM_Bondage.,CLOTHES
CLOTHES_Muzzle_Strap,"(muzzle strap:1.3), (snout restraint:1.2), mouth muzzle, jaw restrictor, bite prevention, leather muzzle, face harness, muzzled anthro","free mouth, open muzzle, no restraint",Muzzle strap / jaw restraint — BDSM accessory for anthro characters. Combos: FURRY_THEME_Pet_Play; THEME_BDSM_Bondage; FURRY_CLOTHES_Harness.,CLOTHES
CLOTHES_Paw_Gloves,"(paw gloves:1.3), (furry mittens:1.2), paw-shaped handwear, soft padded gloves, fingerless paw gloves, cute paw mittens, toe bean gloves","bare hands, human gloves, claws only",Paw gloves / mittens. Combos: any species; FURRY_CLOTHES_Collar; cute aesthetic.,CLOTHES
CLOTHES_Scale_Armor,"(scale armor:1.3), (dragonscale armor:1.2), reptile-themed armor, scaled plates, dragon armor pieces, fantasy scale mail, organic-looking armor","nude, modern, fabric, no armor",Scale armor — organic/fantasy look for reptile species. Combos: FURRY_Dragon_Anthro; FURRY_Lizard_Anthro; STYLE_Dark_Fantasy.,CLOTHES
CLOTHES_Tail_Sleeve,"(tail accessory:1.3), (decorated tail:1.2), tail sleeve, ribbon on tail, tail ring, tail jewelry, bowed tail, tail cuff, ornamental tail decoration","bare tail, no decoration, no tail","Tail accessory / decoration — ribbons, rings, sleeves. Combos: any tailed species.",CLOTHES
CLOTHES_Tribal_Garb,"(tribal clothing:1.3), (primitive outfit:1.2), loincloth, bone jewelry, feather accessories, leather wraps, fur trim garment, primal warrior outfit","modern, formal, tech, full coverage",Tribal / primitive garb. Combos: FURRY_MARKINGS_Tribal; FURRY_THEME_Primal; SCENE_Forest_Outdoor.,CLOTHES
EXPRESSION_Angry,"(angry expression:1.3), (furious face:1.2), scowling, rage, anger, bared teeth, glaring, aggressive expression, fierce anger, wrathful","calm, happy, neutral, submissive",Angry expression. Combos: ACTION_Angry_Dragon; THEME_Femdom; ARCHETYPE_Demon_Queen. Conflicts: STATE_Ahegao_Extreme.,EXPRESSION
EXPRESSION_Contemptuous,"(contemptuous expression:1.3), sneering, curled lip, disdainful, looking down with contempt, withering look, haughty stare","respectful, friendly, warm",Contempt — stronger than Disapproval. Combos: THEME_Femdom; ARCHETYPE_Dominatrix; EXPRESSION_Smug.,EXPRESSION
EXPRESSION_Crying_Smiling,"(crying while smiling:1.4), (tears with smile:1.3), sad smile, bittersweet expression, tears down smiling face, emotional conflict face","purely happy, purely sad, neutral",Crying while smiling — Japanese emotional contrast trope. Combos: NTR scenarios; THEME_Corruption_Moral.,EXPRESSION
EXPRESSION_Disapproval,"(disapproving expression:1.3), judging look, condescending stare, (frowning:1.2), eyebrow raised, disgusted side-eye, scornful, contemptuous, looking down at, judgmental face","happy, positive, friendly, approving",Disapproval / condemnation expression. Combos: EXPRESSION_Smug; THEME_Femdom; NTR scenarios; ARCHETYPE_Demon_Queen.,EXPRESSION
EXPRESSION_Embarrassed,"embarrassed, (blushing:1.3), covering face, shy expression, ashamed, flustered, looking away, red-faced, embarrassed smile","confident, calm, proud, neutral",Embarrassed expression,EXPRESSION
EXPRESSION_Fear,"(fear expression:1.3), (terrified face:1.2), scared, frightened, wide fearful eyes, trembling lips, terror expression","calm, confident, neutral, brave",Fear / terror. Combos: THEME_Non_Con; THEME_Monster_Tentacle; NTR_Caught_In_Act.,EXPRESSION
EXPRESSION_Fellatio_Face,"(fellatio face:1.3), (open mouth waiting:1.2), tongue out ready, mouth open wide, expecting oral, receptive mouth expression, jaw open inviting","closed mouth, neutral, actual fellatio in progress","Fellatio-ready face — mouth open, tongue out, waiting. The expression without the action. Combos: CAMERA_POV; ACTION_Dick_Touch_Face; POSE_On_Knees.",EXPRESSION
EXPRESSION_Fucked_Silly,"fucked silly, ahegao, (eyes rolled back:1.3), tongue out, drooling, mind break expression, stupid face, overwhelmed expression, derp","composed, sane, neutral, scared",Fucked silly expression,EXPRESSION
EXPRESSION_Inviting,"(inviting expression:1.3), (come hither look:1.2), beckoning, seductive invitation, bedroom eyes invitation, finger beckoning, flirtatious inviting gaze","rejecting, angry, scared, neutral, distant",Inviting / 'come here' expression. Combos: STATE_Lustful_Face; THEME_Teasing; POSE_Spread_Legs; SCENE_Bedroom.,EXPRESSION
EXPRESSION_Kissing_Face,"(kissing face:1.3), (puckered lips:1.2), duck lips, lips puckered for kiss, pouty lips, kiss-ready mouth, blowing a kiss","open mouth, neutral lips, teeth showing",Puckered / kiss-ready lips. Combos: CAMERA_Face_Close; THEME_Vanilla_Romance; ACTION_Kissing.,EXPRESSION
EXPRESSION_Lustful,"1girl, (lustful face:1.3), heavy breathing, flushed cheeks, bitten lip, (heart eyes:1.2), seductive expression, desire in eyes, bedroom eyes, craving look","neutral, disgusted, afraid, calm",Visible desire — heart eyes; bitten lip; seductive expression. More intense than STATE_Lustful_Face. Combos: STATE_Blushing_Flushed; LIGHTING_Soft_Warm.,EXPRESSION
EXPRESSION_Mischievous,"(mischievous grin:1.3), (playful smirk:1.2), impish smile, knowing smile, troublemaker expression, sly smile, playful devious look","serious, scared, neutral, crying",Mischievous / impish grin. Combos: ARCHETYPE_Catgirl; THEME_Teasing.,EXPRESSION
EXPRESSION_Nervous,"(nervous expression:1.3), (anxious face:1.2), biting lip nervously, worried eyes, uncertain, fidgeting, uneasy smile, tense","confident, calm, relaxed, bold",Nervous / anxious expression. Combos: THEME_Virginity; THEME_Student_Teacher; EXPRESSION_Embarrassed; STATE_Blushing_Flushed.,EXPRESSION
EXPRESSION_Smug,"smug face, (smirk:1.2), confident expression, self-satisfied, condescending smile, smug grin, superior look, overconfident","humble, neutral, afraid, crying",Smug expression,EXPRESSION
EXPRESSION_Surprised,"surprised expression, (wide eyes:1.2), shocked face, open mouth shock, startled, caught off guard, unexpected, jaw drop","calm, neutral, composed, expected",Surprised expression,EXPRESSION
