name,prompt,negative_prompt,description,category
ACTION_FEMBOY_Cum_On_Face,"1boy, femboy, (cum on face:1.4), (facial:1.3), semen splattered on femboy face, cum dripping from face, messy post-facial, cum across cheeks and forehead","female, clean face, no cum",Femboy receiving facial. Combos: FEMBOY_ACTION_Blowjob_Giving; FEMBOY_STATE_Aroused_Embarrassed.,ACTION
ACTION_FEMBOY_Fingering_Self,"1boy, femboy, solo, (anal fingering:1.4), (finger in own ass:1.4), self fingering, own finger in own hole, reaching behind, self anal stimulation, alone","female, partner, another person, 2people, vaginal, someone else fingering",Femboy self-fingering. Solo ONLY. Combos: FEMBOY_STATE_Aroused_Embarrassed; FEMBOY_THEME_Solo.,ACTION
ACTION_FEMBOY_Lap_Dance,"1boy, femboy, (lap dance:1.4), (grinding on partner lap:1.3), femboy sitting on lap, sensual grind, ass against partner crotch, femboy moving hips on lap","female, standing, solo, no partner",Femboy lap dance on partner. Combos: FEMBOY_ARCHETYPE_Bunny_Boy; FUTA_SCENE_Strip_Club.,ACTION
ACTION_FEMBOY_Masturbation,"1boy, femboy, solo, (masturbation:1.4), (stroking own cock:1.4), femboy jerking off alone, hand on own penis, self pleasure, touching own shaft, solo femboy","female, partner, partnered, another person, 2people",Femboy masturbation. Solo action. Combos: FEMBOY_STATE_Aroused_Embarrassed or Ahegao; FEMBOY_THEME_Solo.,ACTION
ACTION_FEMBOY_Presenting_Ass,"1boy, femboy, (presenting ass:1.4), (showing butt:1.3), ass up toward viewer, rear presentation, bent over display, femboy butt in focus, looking back while showing ass","female, hiding, facing forward, not showing",Femboy presenting ass. Combos: FEMBOY_BODY_Bubble_Butt; FEMBOY_THEME_Sub.,ACTION
ACTION_FEMBOY_Prone_Bone_Receiving,"1boy, femboy, (prone bone:1.4), (lying face down being fucked:1.3), flat on stomach getting penetrated anally, femboy pressed into bed, face in pillow anal","female, giving, on top, femboy penetrating",Femboy receiving prone bone. Combos: FEMBOY_THEME_Sub; FEMBOY_STATE_Ahegao.,ACTION
ACTION_FEMBOY_Spitroast_Receiving,"1boy, femboy, (spitroast:1.4), (cock in mouth and cock in ass:1.3), femboy in the middle, both ends filled, double penetrated femboy","female, giving, femboy on outside",Femboy receiving spitroast — in the middle. Combos: FEMBOY_THEME_Gangbang; GROUP_MMF.,ACTION
ACTION_FEMBOY_Striptease,"1boy, femboy, (striptease:1.4), (slowly undressing:1.3), removing clothes seductively, mid-strip, clothes half off, teasing strip, partially undressed","female, fully dressed, fully nude already",Femboy striptease. Combos: FEMBOY_CLOTHES_*; FEMBOY_THEME_Trap_Reveal; FUTA_SCENE_Strip_Club.,ACTION
ACTION_FEMBOY_Teasing_Display,"1boy, femboy, (teasing:1.4), (seductive display:1.3), lifting hem to show, peek-a-boo flash, suggestive reveal, playful tease, winking while showing","female, shy, hiding, fully covered",Femboy teasing display. Combos: FEMBOY_STATE_Confident_Smug; FEMBOY_CLOTHES_Tennis_Skirt.,ACTION
ACTION_FEMBOY_Vibrator_Play,"1boy, femboy, solo, (vibrator on cock:1.4), (wand vibrator pressed against penis:1.3), sex toy stimulation, vibrator buzzing on femboy shaft, toy against genitals, alone","female, partner, another person, vaginal",Femboy vibrator play. Solo. Combos: FEMBOY_STATE_Aroused_Embarrassed; FUTA_THEME_Orgasm_Control.,ACTION
ACTION_FUTA_Anal_Receiving,"futanari, (receiving anal:1.4), (cock in futa ass:1.4), futa being fucked anally, anal penetration on futa, futa as bottom, futa getting anal, something inside futa butt","futa giving anal, futa penetrating, futa on top, anal giving, no penis",Futa RECEIVING anal — bottom role. Combos: FUTA_THEME_Maledom; BODY_Male_Muscular.,ACTION
ACTION_FUTA_Being_Pegged,"futanari, (being pegged:1.4), (strap-on in futa ass:1.4), receiving strap-on, futa as bottom, partner pegging futa from behind, anal strap-on penetration on futa","futa giving, futa penetrating, futa dominant, no penis",Futa RECEIVING strap-on pegging. Role reversal. Combos: FUTA_THEME_Maledom; ACCESSORY_Strap_On.,ACTION
ACTION_FUTA_Blowjob_Receiving,"futanari, (receiving blowjob:1.4), (partner sucking futa cock:1.4), mouth around futa penis, oral performed on futa, someone sucking futa shaft, futa getting head, futa standing while sucked","futa giving blowjob, futa on knees, futa mouth on cock, solo, no penis",Futa RECEIVING blowjob from partner. Combos: FUTA_GENITALS_Large_Dick; FUTA_FLUIDS_Facial_Giving; GROUP_*.,ACTION
ACTION_FUTA_Cumshot,"futanari, (ejaculation:1.5), (cumshot:1.4), (spurting cum from cock:1.4), futa orgasm, shooting ropes of cum, explosive futa ejaculation, cum spraying from futa shaft, visible ejaculation stream","no ejaculation, dry orgasm, no cum, no penis",Futa ejaculation/cumshot moment. Combos: FUTA_FLUIDS_*; peak action frame.,ACTION
ACTION_FUTA_Deepthroat_Giving,"futanari, (deepthroating partner:1.4), (futa cock down throat:1.4), futa forcing head down, futa face fucking, throat bulge from futa cock, futa skull fucking partner, hands on partner head pushing down","futa receiving, futa being sucked, futa on knees, passive futa, no penis",Futa GIVING deepthroat — forcing partner. Dominant oral. Combos: FUTA_THEME_Femdom; FLUIDS_Saliva_Drool.,ACTION
ACTION_FUTA_Footjob_Receiving,"futanari, (receiving footjob:1.4), (partner feet on futa cock:1.3), feet around futa shaft, soles stroking futa penis, toes on futa cock, foot rubbing futa","giving footjob, self, solo, handjob, no penis",Futa RECEIVING footjob. Combos: FUTA_GENITALS_Large_Dick; FUTA_POSE_On_Back.,ACTION
ACTION_FUTA_Handjob_Receiving,"futanari, (receiving handjob:1.4), (partner hand on futa cock:1.3), someone stroking futa penis, external hand around shaft, partner jerking futa off, hand wrapped around futa cock","self stroking, own hand, masturbation, giving handjob, solo, no penis",Futa RECEIVING handjob from partner. Combos: FUTA_GENITALS_Average_Dick or Large; GROUP_*.,ACTION
ACTION_FUTA_Masturbation,"futanari, solo, (masturbation:1.4), (stroking own cock:1.4), hand on own penis, futa jerking off alone, self pleasure, touching own shaft, gripping own erection, solo futa","partner, partnered, another person, 2people, someone else touching",Futa masturbation. Solo action. Combos: FUTA_THEME_Solo; FUTA_GENITALS_Erect_Display; any FUTA_SCENE.,ACTION
ACTION_FUTA_Paizuri_Receiving,"futanari, (receiving paizuri:1.4), (partner breasts around futa cock:1.4), titjob on futa, someone else's breasts on futa shaft, chest wrapped around futa penis, futa cock between partner breasts","self paizuri, own breasts, futa giving paizuri, solo, no penis",Futa RECEIVING paizuri from partner (partner's breasts on futa cock). NOT self-paizuri. Combos: FUTA_GENITALS_Large_Dick; GROUP_*.,ACTION
ACTION_FUTA_Penetrating_Futa,"futanari on futanari, (futa penetrating futa:1.4), futa top futa bottom, two futas one penetrating other, mutual futa, futa cock inside futa","male involved, solo, single person",Futa penetrating another futa. Combos: FUTA_THEME_On_Futa; GROUP_Futa_On_Futa.,ACTION
ACTION_FUTA_Penetrating_Male,"futanari, (futa on male:1.4), (futa penetrating male:1.4), futa cock inside boy, futa fucking male, futa dominant over male, futa topping male","male dominant, futa receiving, futa bottom, futa passive, no penis",Futa penetrating male. Reverse dynamic. Combos: FUTA_THEME_Femdom; GROUP_Futa_On_Male.,ACTION
ACTION_FUTA_Penetrating_Partner,"futanari, (futa penetrating:1.4), (futa cock inside partner:1.4), futa on top, futa thrusting, futa dominant, futa fucking partner, futa shaft inside, active penetration by futa","futa receiving, futa being fucked, futa bottom, passive futa, no penis",Futa penetrating partner — dominant. Combos: FUTA_BODY_Large; THEME_FUTA_On_Partner; POSE_Missionary or Doggystyle.,ACTION
ACTION_FUTA_Self_Paizuri,"futanari, solo, (self paizuri:1.5), (own breasts around own cock:1.4), self titjob, (squeezing own breasts on own penis:1.4), looking down at own chest, huge breasts wrapped around own shaft, breast press on own cock, alone","partner, another person, 2people, external hands, someone else, no penis, no breasts",Futa self-paizuri — using own breasts on own cock. Solo ONLY. Needs large breasts. Combos: BODY_FUTA_Thicc; BREASTS_Huge_Focus; FUTA_FLUIDS_*. Weight 1.5 enforces self-action over partner paizuri.,ACTION
ACTION_FUTA_Self_Suck,"futanari, solo, (autofellatio:1.5), (sucking own cock:1.5), (mouth on own penis:1.4), bent forward self-oral, flexible body, self blowjob, own cock in own mouth, curled over own shaft, alone","partner, another person, 2people, someone else sucking, external mouth, no penis",Futa autofellatio — sucking own cock. Solo ONLY. Needs flexibility or large penis. Combos: BODY_FUTA_Hyper (easier reach); BODY_FUTA_Petite (flexibility). Weight 1.5 critical.,ACTION
ACTION_FUTA_Spitroast_Giving,"futanari, (spitroast:1.4), (futa providing both ends:1.3), futa cock in mouth and another futa cock in ass, double penetration by futa, futanari on both sides","receiving spitroast, futa in middle, solo, no penis",Futa providing spitroast — on both ends. Combos: THEME_FUTA_On_Partner; GROUP_Threesome.,ACTION
ACTION_FUTA_Stroking_Tip,"futanari, (stroking cock tip:1.4), (thumb circling glans:1.3), fingertip on penis head, teasing cockhead, slow deliberate tip stimulation, focused on glans only, rubbing tip","full stroke, base stroke, fast stroking, no penis",Focused tip stimulation. Teasing/edging action. Combos: FUTA_THEME_Orgasm_Control; STATE_Trembling.,ACTION
ACTION_FUTA_Tribbing_Futa,"futanari, (futa cock between thighs:1.4), (thighjob:1.3), futa cock grinding against skin, cock rubbing between legs, intercrural, futa shaft sliding between thighs","penetration, insertion, inside, no penis",Futa cock grinding between thighs — no penetration. Combos: THEME_FUTA_On_Partner; POSE_Missionary.,ACTION
ACTION_FUTA_Vaginal_Receiving,"futanari, (vaginal penetration:1.4), (cock in futa pussy:1.4), futa being fucked vaginally, full herm receiving, penetrated in vagina, futa receptive vaginal","futa giving, futa penetrating, anal, no penis, no vagina",Full herm futa RECEIVING vaginal. REQUIRES BODY_Base_Herm. Combos: FUTA_THEME_Maledom.,ACTION
ARCHETYPE_FEMBOY_Bunny_Boy,"1boy, femboy, bunny ears, bunny suit, fishnet, bow tie, bunny boy, cute bunny outfit, leotard male","female, girl, masculine, butch",Femboy bunny. Combos: FEMBOY_CLOTHES_Thigh_Highs; FEMBOY_THEME_Trap_Reveal; FEMBOY_STATE_Confident_Smug.,ARCHETYPE
ARCHETYPE_FEMBOY_Catboy,"1boy, femboy, cat ears, cat tail, nekomimi, collar, catboy, cute neko boy, cat paws","female, girl, masculine, butch",Catboy femboy. Combos: FEMBOY_CLOTHES_Thigh_Highs; FEMBOY_STATE_Confident_Smug.,ARCHETYPE
ARCHETYPE_FEMBOY_Delinquent,"1boy, femboy, yankee style, modified uniform, bleached hair, delinquent, bad boy femboy, aggressive cute","female, girl, feminine only, passive",Delinquent femboy. Tough exterior cute. Combos: FEMBOY_STATE_Confident_Smug; FEMBOY_THEME_Dom_Femboy.,ARCHETYPE
ARCHETYPE_FEMBOY_Idol,"1boy, femboy, idol costume, stage outfit, colorful performer, kawaii idol, idol smile, performing femboy","female, girl, masculine, butch",Femboy idol. Combos: FEMBOY_THEME_Trap_Reveal; FEMBOY_STATE_Confident_Smug.,ARCHETYPE
ARCHETYPE_FEMBOY_Maid,"1boy, femboy, (frilly maid uniform:1.3), apron, maid headdress, maid outfit on boy, femboy maid, crossdressing maid","female, girl, masculine",Classic femboy maid. Most popular archetype. Combos: FEMBOY_STATE_Shy_Blushing; FEMBOY_THEME_Sub.,ARCHETYPE
ARCHETYPE_FEMBOY_Shrine_Boy,"1boy, femboy, shrine maiden male, hakama, white and red robes, miko outfit male, shinto garb, femboy shrine","female, girl, masculine",Male shrine maiden (femboy miko). Combos: FEMBOY_BODY_Slender; FEMBOY_STATE_Shy_Blushing.,ARCHETYPE
ARCHETYPE_FUTA_Bunny,"futanari, bunny ears, bunny suit, fishnet stockings, bowtie, cuffs, wrist cuffs, leotard, futa bunny","male, female only, no penis",Futa bunny girl. Combos: FUTA_SCENE_Strip_Club; FUTA_THEME_Solo; FUTA_GENITALS_Bulge for covered look.,ARCHETYPE
ARCHETYPE_FUTA_Demon_Queen,"futanari, demon horns, dark wings, crown, dark armor, demon queen, (corrupted:1.2), futa demon queen, sinister","male, female only, no penis, angel",Dark futa demon queen. Combos: FUTA_THEME_Femdom; FUTA_BODY_Tall_Amazon; FUTA_SCENE_Fantasy_Dungeon.,ARCHETYPE
ARCHETYPE_FUTA_Dominatrix,"futanari, (latex:1.3), corset, thigh high boots, whip, mistress, dominatrix, leather outfit, futa dominatrix","male, female only, no penis, submissive",Futa dominatrix. Combos: FUTA_THEME_Femdom; FUTA_BODY_Tall_Amazon; FUTA_POSE_Standing_Dominant.,ARCHETYPE
ARCHETYPE_FUTA_Gyaru,"futanari, gyaru, tan skin, blonde hair, heavy makeup, flashy nails, gyaru outfit, kogal, futa gyaru","male, female only, no penis, pale",Futa gyaru. Combos: FUTA_BODY_Thicc; FUTA_SCENE_Strip_Club or Night_Club.,ARCHETYPE
ARCHETYPE_FUTA_Idol,"futanari, idol outfit, colorful performer, stage costume, kawaii, microphone, idol smile, futa idol","male, female only, no penis",Futa idol. Contrast cute/lewd. Combos: FUTA_THEME_Surprise_Reveal; FUTA_SCENE_Strip_Club.,ARCHETYPE
ARCHETYPE_FUTA_Maid,"futanari, frilly maid uniform, apron, maid headdress, maid outfit, futa maid","male, female only, no penis",Futa maid. Classic combo. Combos: FUTA_THEME_Solo or On_Female; FUTA_SCENE_Hot_Spring.,ARCHETYPE
ARCHETYPE_FUTA_Neko,"futanari, cat ears, cat tail, nekomimi, collar, neko, futa neko","male, female only, no penis",Futa catgirl. Combos: FUTA_BODY_*; FEMBOY_STATE_Confident_Smug; FUTA_THEME_Solo.,ARCHETYPE
ARCHETYPE_FUTA_Nurse,"futanari, nurse uniform, nurse cap, white outfit, medical, stethoscope, futa nurse","male, female only, no penis, doctor coat",Futa nurse. Combos: FUTA_THEME_On_Female; FUTA_BODY_Thicc; FEMBOY_ARCHETYPE_Angel for contrast.,ARCHETYPE
ARCHETYPE_FUTA_Student,"futanari, school uniform, sailor uniform, pleated skirt, futa student, student outfit","male, female only, no penis",Futa schoolgirl. Combos: FUTA_THEME_Surprise_Reveal; FUTA_GENITALS_Bulge. Ensure adult in prompt.,ARCHETYPE
ARCHETYPE_FUTA_Succubus,"futanari, succubus, demon wings, horns, tail, seductive, futa succubus, dark aura, lust demon","male, female only, no penis, angel",Futa succubus. Combos: FUTA_THEME_Femdom; FUTA_BODY_Tall_Amazon; LIGHTING_Dramatic_Shadow.,ARCHETYPE
BODY_Base_Femboy,"1boy, (femboy:1.3), (male anatomy:1.2), (penis:1.2), flat chest, no breasts, smooth skin, feminine male body, slim male frame, androgynous male","breasts, vagina, pussy, female anatomy, muscular, masculine bulk","FEMBOY BASE CONSTRUCTOR — male body, feminine presentation, flat chest, penis. SELECT THIS before other FEMBOY styles to enforce male anatomy.",BODY
BODY_Base_Futa,"futanari, (penis:1.3), (no pussy:1.4), (no vagina:1.4), smooth crotch with penis only, breasts, feminine body with cock, no slit","pussy, vagina, slit, labia, cameltoe, hermaphrodite, male body, masculine","FUTA BASE CONSTRUCTOR — feminine body + penis, NO vagina. Prevents default herm generation. SELECT THIS or BODY_Base_Herm before other FUTA styles.",BODY
BODY_Base_Herm,"futanari, (hermaphrodite:1.3), (penis:1.2), (vagina:1.2), (both genitals:1.3), full package, breasts, feminine body, cock and pussy together","no penis, male body, masculine, dick only",HERM BASE CONSTRUCTOR — feminine body + penis AND vagina. Full hermaphrodite. SELECT THIS or BODY_Base_Futa before other FUTA styles.,BODY
BODY_Ass_Huge,"(huge ass:1.4), (enormous butt:1.3), ass bigger than head, massive rear, oversized buttocks, extreme bubble butt, impossibly large ass","flat ass, small butt, normal proportions, petite",Exaggerated huge ass. Combos: BODY_Thicc_Voluptuous; CAMERA_Ass_Focus; ACTION_Ass_Worship; THEME_QoS_Lifestyle.,BODY
BODY_BBW_Plus_Size,"bbw, plus size, chubby, fat belly, thick body, soft belly, plump body, heavy body, chunky, big belly, love handles, thick arms, massive thighs","skinny, thin, slender, fit, toned, muscular, petite",BBW and plus size body type,BODY
BODY_FEMBOY_Androgynous,"1boy, femboy, androgynous, gender ambiguous, could be either, neutral features, ambiguous gender, neither clearly","female only, masculine, butch",Truly androgynous femboy. Combos: FUTA_THEME_Surprise_Reveal; FEMBOY_ARCHETYPE_Elf.,BODY
BODY_FEMBOY_Athletic_Lean,"1boy, femboy, (athletic:1.2), lean muscle, toned body, fit femboy, defined but slender, gym femboy, abs visible","female only, fat, chubby, masculine bulk",Athletic lean femboy. Fit but feminine. Combos: FEMBOY_ARCHETYPE_Delinquent; FEMBOY_THEME_Dom_Femboy.,BODY
BODY_FEMBOY_Bubble_Butt,"1boy, femboy, (big ass:1.3), (prominent buttocks:1.3), round ass, bubble butt, juicy ass, femboy with big butt, (slim waist:1.1)","female only, flat ass, masculine",Femboy with prominent ass. Combos: FEMBOY_ACTION_Presenting_Ass; FEMBOY_CLOTHES_Tennis_Skirt.,BODY
BODY_FEMBOY_Chubby_Soft,"1boy, femboy, chubby, soft body, pudgy, round belly, soft femboy, plump, squishy, gentle curves","female only, muscular, thin, masculine",Soft chubby femboy. Combos: FEMBOY_ARCHETYPE_Maid; FEMBOY_STATE_Shy_Blushing.,BODY
BODY_FEMBOY_Otokonoko,"1boy, femboy, (otokonoko:1.3), crossdressing boy, trap, japanese crossdresser, could be mistaken for opposite gender, very feminine male","female only, clearly masculine",Classic otokonoko/trap. Most feminine presentation. Combos: FEMBOY_THEME_Trap_Reveal; FEMBOY_ARCHETYPE_Maid.,BODY
BODY_FEMBOY_Petite,"1boy, femboy, petite, small frame, delicate build, tiny body, fragile, light weight, dainty","female only, fat, tall, masculine",Petite femboy. Combos: FEMBOY_THEME_Sub; FEMBOY_STATE_Shy_Blushing; FUTA_THEME_Size_Play.,BODY
BODY_FEMBOY_Slender,"1boy, femboy, (slender:1.3), thin, slim, willowy, delicate, lean frame, slight build, androgynous slim","female only, fat, muscular, masculine bulk",Slim/slender femboy baseline. Most common. Combos: FEMBOY_ARCHETYPE_Elf; FEMBOY_CLOTHES_Thigh_Highs.,BODY
BODY_FEMBOY_Small_Chest,"1boy, femboy, flat chest, small pecs, no breasts, smooth chest, androgynous chest, slightly defined pecs","female only, large breasts, masculine bulk",Flat/small chest femboy. Contrast with FUTA_BODY if combined. Combos: FEMBOY_CLOTHES_Crop_Top.,BODY
BODY_FEMBOY_Soft_Curve,"1boy, femboy, (soft curves:1.2), slight hip curve, gentle figure, hint of curves, soft waist, subtle hourglass male","female only, masculine angles, blocky",Femboy with soft body curves. Combos: FEMBOY_CLOTHES_Lingerie; FEMBOY_THEME_Otokonoko.,BODY
BODY_FEMBOY_Tall_Lanky,"1boy, femboy, tall, lanky, long limbs, tall and thin, towering slender, tall femboy","female only, short, fat, masculine",Tall lanky femboy. Unusual height contrast. Combos: FEMBOY_THEME_Dom_Femboy; FEMBOY_STATE_Confident_Smug.,BODY
BODY_FUTA_Average,"futanari, (average penis:1.3), realistic proportioned cock, natural size shaft, (testicles:1.2), semi-erect, proportional genitals, not oversized not tiny","no penis, huge cock, horse cock, tiny penis, male body, masculine",Average realistic futa penis. Universal baseline. Combos: FUTA_GENITALS_Average_Dick; FUTA_THEME_Solo.,BODY
BODY_FUTA_BBW,"futanari, chubby, plus size, soft belly, thick thighs, wide hips, fat, BBW, overweight, (large breasts:1.2), (average penis:1.1)","female only, no penis, thin, skinny, flat, male",Chubby/BBW futa body. Combos: FUTA_BODY_Average or Large; FUTA_SCENE_Hot_Spring.,BODY
BODY_FUTA_Flaccid,"futanari, (flaccid penis:1.4), (soft limp cock:1.3), hanging unerect penis, relaxed genitals, (testicles:1.2), dangling shaft, not hard","no penis, erection, hard, erect, throbbing, male body, masculine",Futa with flaccid/soft penis. Pre-scene casual state. Combos: FUTA_SCENE_Locker_Room; FEMBOY_STATE_Shy_Blushing.,BODY
BODY_FUTA_Hyper,"futanari, (hyper penis:1.5), (enormous cock:1.5), absurdly oversized penis, (massive testicles:1.4), hyper balls, horse cock scale, impossibly large shaft, bigger than forearm","no penis, average, normal size, small, male body, masculine",Hyper-endowed futa. Extreme fantasy. Combos: FUTA_FLUIDS_Excessive_Cum; FUTA_THEME_Size_Play. NOT for realism.,BODY
BODY_FUTA_Large,"futanari, (huge penis:1.5), (large erect cock:1.4), veiny thick shaft, (large testicles:1.3), heavy balls, throbbing massive cock, prominent erection","no penis, flat, (small penis:1.3), male body, masculine",Futa with large genitals. Dominant presence. Combos: FUTA_ARCHETYPE_Dominatrix; FUTA_THEME_Femdom.,BODY
BODY_FUTA_Muscular,"futanari, (muscular:1.3), toned, athletic body, abs, defined muscles, strong arms, broad shoulders, fit physique, (average penis:1.2)","female only, no penis, thin, petite, fragile, male",Athletic/muscular futa. Dominant body. Combos: FUTA_THEME_Femdom; FUTA_ARCHETYPE_Dominatrix; FUTA_POSE_Standing_Dominant.,BODY
BODY_FUTA_Newhalf,"futanari, newhalf, (passing as non-futa:1.3), (hidden penis:1.2), ambiguously feminine, fully feminine body, (small penis:1.2), barely visible bulge, trap-adjacent futa, (slender:1.2)","male body, masculine, muscle, bulky, no penis, obvious cock, large penis",Newhalf — passing feminine futa. Minimal male tells. Combos: FUTA_THEME_Surprise_Reveal; STATE_Shy_Blushing.,BODY
BODY_FUTA_Petite,"futanari, (petite:1.3), small frame, delicate build, slim, light body, (average penis:1.2), contrast of small body and penis","female only, no penis, fat, chubby, huge body, male",Petite futa — small frame contrast. Combos: FUTA_THEME_Size_Play; FUTA_POSE_On_Knees. Ensure adult prompt.,BODY
BODY_FUTA_Shortstack,"futanari, (short:1.3), (curvy:1.2), short and busty, stacked, wide hips short height, big butt small stature, (average penis:1.1)","female only, no penis, tall, thin, flat, male",Short+curvy futa. Combos: FUTA_THEME_On_Female; FUTA_BODY_Petite for size contrast.,BODY
BODY_FUTA_Tall_Amazon,"futanari, (tall:1.3), (amazon:1.2), towering height, long legs, powerful stature, dominant stature, very tall, (large penis:1.2)","female only, no penis, short, petite, small, male",Towering amazon futa. Combos: FUTA_THEME_Femdom; FUTA_POSE_Standing_Dominant; FUTA_ARCHETYPE_Dominatrix.,BODY
BODY_FUTA_Thicc,"futanari, (thick thighs:1.3), (wide hips:1.3), (big ass:1.2), voluptuous, curvy, hourglass figure, (large breasts:1.2), (average penis:1.2)","female only, no penis, flat, thin, petite, male",Thicc/voluptuous futa. Most universally appealing. Combos: FUTA_POSE_Cowgirl; FUTA_THEME_On_Female.,BODY
BODY_Hourglass_Perfect,"hourglass figure, perfect proportions, slim waist, wide hips, large breasts, balanced figure, stunning figure","flat, boxy, straight body, shapeless, (bad proportions:1.3)",Perfect hourglass proportions,BODY
BODY_Male_Average,"1boy, (average male body:1.2), normal male build, regular physique, everyday male, typical male body, not muscular, not fat, average male","female, extremely muscular, obese",Average male body. Universal for male characters. Combos: any GROUP; THEME_NTR_Cheating; SCENE setups.,BODY
BODY_Male_BBC,"1boy, (dark skinned male:1.4), (black male:1.3), (huge penis:1.4), (BBC:1.3), dark skin, muscular, large penis, veiny cock, massive dark cock, ebony skin","white skin, pale, small penis, female, average size",Black male with BBC — dedicated body style. Replaces manual THEME_Interracial_BBC + BODY_Male_Muscular stacking. Combos: THEME_QoS_Lifestyle; THEME_Interracial_BBC.,BODY
BODY_Male_Muscular,"1boy, (muscular male:1.3), (athletic male body:1.2), defined muscles, abs, broad shoulders, strong male body, fit male physique, six pack","female, fat, scrawny, skinny male",Muscular male body. Combos: RACE_Orc_Male; THEME_Maledom; GROUP_MMF; THEME_Interracial_BBC.,BODY
BODY_Muscular_Fit,"(muscular:1.3), athletic body, toned, abs, defined muscles, strong body, fit physique, six pack, firm body, biceps","soft, flabby, skinny, obese",Muscular athletic body. Universal — works for futa and partners.,BODY
BODY_Petite_Small,"petite body, small frame, short, small breasts, thin waist, delicate, tiny body, small stature, cute body","tall, large, big, bulky, muscular, underage",Adult petite body type,BODY
